                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2843,                0.80413,                 1.3903,                 0.9295,                0.85366,                0.91707,                0.58462,                 1.1611,                0.61639,                 1.3329,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.2967,                0.80119,                  1.399,                0.93241,                 0.8562,                0.91954,                0.58517,                 1.1634,                0.61701,                 1.3289,              0.0003268,              0.0003268,              0.0003268
                     37,                  1.279,                0.80092,                 1.4097,                0.93565,                0.85749,                0.91871,                0.57763,                 1.1789,                0.62024,                 1.3389,               0.000307,               0.000307,               0.000307
                     38,                 1.2843,                0.79893,                 1.3982,                0.93203,                0.86253,                0.92163,                0.58752,                 1.1551,                0.60646,                 1.3195,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.2676,                0.77724,                 1.3772,                0.93332,                0.85447,                0.91848,                0.58739,                 1.1465,                0.60552,                 1.3169,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.2661,                0.77481,                 1.3851,                0.93704,                0.85552,                0.92111,                0.58987,                 1.1462,                0.60487,                 1.3175,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.2247,                0.69741,                 1.3561,                0.93883,                0.85458,                0.91916,                0.59147,                 1.1377,                0.61365,                 1.3114,              0.0002278,              0.0002278,              0.0002278
                     42,                  1.205,                0.67166,                 1.3529,                0.93255,                0.85706,                0.91875,                0.59366,                 1.1257,                0.59715,                 1.3055,               0.000208,               0.000208,               0.000208
                     43,                 1.2162,                0.67688,                  1.356,                0.93366,                0.85915,                0.91904,                0.59529,                 1.1206,                0.59534,                 1.2998,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.1837,                0.66126,                 1.3484,                0.93511,                0.85984,                0.92026,                0.59732,                 1.1139,                0.59082,                 1.2954,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.1991,                0.65766,                 1.3393,                0.93861,                0.85698,                0.92296,                0.60094,                 1.1081,                0.58469,                 1.2925,              0.0001486,              0.0001486,              0.0001486
                     46,                 1.1688,                0.63969,                 1.3337,                 0.9365,                0.85896,                0.92156,                 0.6044,                 1.1034,                0.57899,                 1.2871,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.1637,                 0.6432,                 1.3285,                0.93935,                0.86187,                0.92499,                0.60649,                 1.0904,                0.57891,                 1.2781,               0.000109,               0.000109,               0.000109
                     48,                 1.1671,                0.64134,                  1.325,                0.94074,                0.86214,                0.92453,                0.60687,                 1.0936,                0.57251,                 1.2786,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.1662,                0.64013,                 1.3296,                0.93671,                0.86227,                0.92319,                0.61024,                 1.0851,                 0.5683,                 1.2739,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                 1.1512,                0.63705,                 1.3178,                0.93579,                0.86452,                0.92424,                0.61172,                 1.0807,                0.57066,                 1.2719,               4.96e-05,               4.96e-05,               4.96e-05
